order_id,customer_id,order_date,product_category,product_name,price,quantity,country
1,427,2024-01-08,Electronics,Monitor,52.75,2,Spain
2,152,2024-02-13,Electronics,Webcam,87.27,1,USA
3,211,2024-01-15,Electronics,Webcam,43.77,5,France
4,212,2024-01-29,Home,Blanket,152.97,2,Spain
5,316,2024-01-22,Home,Chair,46.99,3,USA
6,147,2024-01-25,Electronics,Monitor,170.26,5,UK
7,122,2024-02-16,Sports,Football,194.76,4,USA
8,382,2024-01-19,Home,Chair,142.39,1,Spain
9,216,2024-02-19,Home,Blanket,171.79,1,France
10,242,2024-01-30,Home,Chair,77.19,2,Spain
11,236,2024-02-14,Electronics,Webcam,128.82,5,Spain
12,225,2024-01-11,Sports,Water Bottle,57.64,5,Canada
13,450,2024-01-21,Electronics,Keyboard,165.25,3,France
14,237,2024-01-05,Clothing,Hat,46.46,4,France
15,429,2024-01-30,Clothing,Hat,32.23,5,Germany
16,234,2024-02-17,Sports,Water Bottle,75.59,2,Germany
17,352,2024-01-06,Electronics,Mouse,34.8,2,Italy
18,448,2024-01-28,Electronics,USB Cable,79.42,4,Germany
19,228,2024-02-05,Electronics,Mouse,137.93,5,Italy
20,236,2024-02-19,Home,Blanket,62.23,2,France
21,101,2024-02-16,Home,Chair,104.0,1,Italy
22,420,2024-01-20,Clothing,Jacket,77.91,2,Germany
23,498,2024-02-29,Electronics,Webcam,68.21,1,USA
24,285,2024-02-26,Home,Chair,16.3,5,USA
25,143,2024-02-16,Sports,Football,195.71,5,Italy
26,164,2024-01-09,Sports,Basketball,56.69,5,France
27,208,2024-02-29,Clothing,Hat,82.8,3,France
28,364,2024-01-29,Electronics,Keyboard,48.82,3,USA
29,401,2024-02-05,Clothing,Jacket,6.4,1,Canada
30,134,2024-02-27,Electronics,Monitor,18.82,2,UK
31,442,2024-02-01,Clothing,Jacket,146.05,5,Germany
32,342,2024-01-16,Sports,Water Bottle,42.13,1,Spain
33,320,2024-01-23,Sports,Water Bottle,96.07,1,Spain
34,434,2024-02-11,Electronics,Mouse,83.51,3,Italy
35,155,2024-01-16,Clothing,Jacket,109.58,2,France
36,193,2024-01-18,Sports,Basketball,175.52,1,France
37,381,2024-01-07,Electronics,Webcam,168.03,1,Italy
38,221,2024-01-11,Sports,Water Bottle,98.86,4,USA
39,184,2024-01-25,Electronics,USB Cable,56.71,4,UK
40,316,2024-02-14,Sports,Basketball,42.03,2,USA
41,396,2024-02-17,Electronics,Monitor,16.15,5,France
42,357,2024-02-28,Clothing,T-Shirt,192.35,1,Italy
43,195,2024-01-05,Electronics,Keyboard,83.74,5,Canada
44,396,2024-02-08,Electronics,Webcam,20.99,5,Germany
45,367,2024-01-21,Home,Chair,135.6,3,Canada
46,235,2024-01-26,Clothing,Hat,94.16,1,USA
47,334,2024-02-09,Electronics,Mouse,109.84,5,UK
48,167,2024-02-29,Home,Blanket,176.46,3,UK
49,180,2024-01-29,Home,Blanket,135.23,5,UK
50,439,2024-01-07,Clothing,Hat,27.51,1,Spain
51,383,2024-01-10,Home,Candle,122.94,3,Canada
52,451,2024-02-10,Home,Pillow,53.97,1,USA
53,424,2024-01-28,Home,Blanket,5.69,2,Spain
54,234,2024-01-11,Sports,Water Bottle,114.38,1,USA
55,453,2024-02-27,Clothing,T-Shirt,167.75,5,Germany
56,175,2024-01-28,Clothing,T-Shirt,65.11,1,UK
57,207,2024-02-13,Clothing,T-Shirt,73.97,5,Italy
58,308,2024-02-09,Clothing,Jacket,173.6,2,France
59,112,2024-01-12,Home,Pillow,161.44,2,UK
60,181,2024-02-20,Electronics,USB Cable,175.07,4,Canada
61,202,2024-02-22,Sports,Tennis Ball,64.51,2,Canada
62,112,2024-02-12,Clothing,Sweater,69.01,1,Italy
63,242,2024-01-23,Sports,Tennis Ball,188.15,1,UK
64,191,2024-02-07,Home,Blanket,26.14,4,UK
65,473,2024-02-20,Home,Pillow,123.21,5,USA
66,297,2024-02-27,Clothing,Hat,13.66,4,USA
67,366,2024-02-29,Clothing,Hat,89.1,3,Germany
68,260,2024-02-12,Electronics,Monitor,103.89,4,UK
69,306,2024-02-14,Home,Chair,42.41,4,Spain
70,483,2024-02-27,Clothing,Hat,84.18,1,UK
71,246,2024-01-14,Sports,Tennis Ball,95.67,4,Spain
72,209,2024-02-02,Sports,Basketball,133.48,3,Germany
73,439,2024-02-10,Home,Blanket,164.59,2,Spain
74,258,2024-01-15,Clothing,Jacket,9.76,2,France
75,412,2024-02-24,Electronics,USB Cable,85.82,5,Canada
76,467,2024-02-14,Sports,Water Bottle,82.93,2,Spain
77,452,2024-01-01,Electronics,USB Cable,47.67,5,France
78,125,2024-02-05,Clothing,T-Shirt,94.01,4,Spain
79,371,2024-02-05,Home,Pillow,124.47,5,France
80,380,2024-01-29,Clothing,Sweater,92.76,2,Italy
81,426,2024-01-18,Sports,Basketball,58.55,1,Spain
82,246,2024-01-16,Home,Candle,67.34,5,USA
83,170,2024-01-10,Clothing,Sweater,140.32,2,USA
84,312,2024-01-27,Home,Pillow,86.08,2,Italy
85,315,2024-01-25,Electronics,Webcam,79.17,1,UK
86,252,2024-02-18,Sports,Water Bottle,109.95,5,Italy
87,408,2024-02-27,Clothing,Sweater,47.79,4,France
88,114,2024-01-25,Home,Pillow,146.22,4,Canada
89,418,2024-02-04,Electronics,USB Cable,120.42,1,USA
90,429,2024-01-28,Clothing,Sweater,40.44,3,France
91,267,2024-01-14,Sports,Tennis Ball,70.81,4,UK
92,485,2024-03-01,Sports,Tennis Ball,167.81,4,USA
93,483,2024-02-04,Electronics,Monitor,48.72,1,Italy
94,433,2024-01-03,Electronics,Keyboard,43.88,1,Germany
95,178,2024-01-16,Clothing,Sweater,135.54,5,Canada
96,338,2024-02-14,Home,Candle,37.72,5,Spain
97,467,2024-01-08,Clothing,Hat,26.08,1,UK
98,394,2024-02-13,Sports,Water Bottle,188.59,2,USA
99,403,2024-02-14,Clothing,T-Shirt,140.95,3,Italy
100,450,2024-02-08,Electronics,Webcam,157.61,3,Germany
101,319,2024-02-12,Home,Blanket,103.66,3,USA
102,315,2024-02-22,Sports,Football,89.54,3,Spain
103,335,2024-02-15,Clothing,Sweater,39.35,5,Spain
104,238,2024-02-09,Sports,Water Bottle,89.94,5,UK
105,265,2024-02-24,Clothing,T-Shirt,59.39,4,Canada
106,484,2024-01-30,Sports,Tennis Ball,10.6,3,Canada
107,349,2024-01-14,Home,Candle,71.37,5,Spain
108,241,2024-02-05,Electronics,Webcam,189.87,1,Canada
109,468,2024-01-27,Sports,Basketball,139.67,4,France
110,108,2024-01-06,Home,Chair,83.86,2,UK
111,439,2024-02-07,Home,Pillow,112.93,3,France
112,481,2024-02-05,Home,Candle,142.06,3,UK
113,228,2024-01-15,Electronics,Keyboard,66.53,5,Italy
114,453,2024-01-12,Clothing,Jacket,149.03,3,Spain
115,401,2024-02-18,Home,Blanket,167.36,3,Canada
116,284,2024-01-12,Home,Blanket,143.06,2,UK
117,123,2024-01-04,Home,Chair,129.38,4,USA
118,106,2024-02-06,Home,Pillow,98.35,3,Canada
119,126,2024-01-17,Sports,Football,165.31,4,France
120,137,2024-02-06,Electronics,Keyboard,34.09,5,UK
121,143,2024-01-16,Electronics,Webcam,154.07,5,Germany
122,416,2024-01-15,Sports,Water Bottle,182.16,3,Italy
123,401,2024-01-28,Home,Blanket,123.88,1,Italy
124,206,2024-02-10,Clothing,Hat,133.78,2,Canada
125,188,2024-02-05,Electronics,Keyboard,5.52,4,Spain
126,404,2024-01-31,Home,Blanket,50.14,3,Spain
127,332,2024-01-05,Clothing,Hat,158.63,5,Spain
128,201,2024-01-28,Electronics,Webcam,48.84,2,UK
129,172,2024-01-05,Electronics,Keyboard,159.56,5,Spain
130,391,2024-02-28,Home,Pillow,29.25,3,Spain
